Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
20.08.2013;9,4;14,6;20,8;6,8;0;7,4;51;80,8;100;3;19
21.08.2013;9,3;16,4;24,6;12,5;0;7,4;40;72;100;4;19
22.08.2013;9,9;18,8;26,4;10,4;0;7,7;39;66,8;100;5;22
23.08.2013;13,9;21,6;28,9;11,1;0;11,9;38;60,5;93;5;26
24.08.2013;15;18,4;24,2;3,9;3,1;13,3;51;79,2;100;7;35
25.08.2013;12,9;16,3;18,8;0,4;3,5;10,7;89;98,1;100;3;20
26.08.2013;11,5;16,9;23,2;3;0;9,8;51;74,5;100;8;43
27.08.2013;12,9;18,9;24,6;9,1;0;10;42;59,9;82;7;28
28.08.2013;11;17,1;24,6;6,8;0;8,7;40;72,2;98;5;24
29.08.2013;10,2;16,8;24,2;8,9;0;8;45;76,3;100;3;15
30.08.2013;10,4;17,2;24,3;7,9;0;8,1;47;74,8;100;5;26
31.08.2013;10,8;16,6;22,3;3,4;2,7;8,1;51;79,3;100;9;39
01.09.2013;8,2;14,5;18,7;4,8;0;5,6;51;69,9;100;8;30
02.09.2013;13;16,9;21;1,7;0;11,6;64;74,5;96;10;37
03.09.2013;12,1;17,6;23,8;0,7;0;9,8;63;83,6;100;3;15
04.09.2013;11,8;19,7;29,2;12,2;0;9,4;45;77,6;100;3;20
05.09.2013;14,3;23,7;32,5;12,3;0;11,9;40;65,1;100;8;33
06.09.2013;16,2;22,4;32,7;8,4;4,1;14,7;36;70,8;100;8;50
07.09.2013;14,2;17,5;21,9;0,7;20,9;13,8;69;91,6;100;5;22
08.09.2013;11,8;13,8;17,4;1,1;3,1;10,5;75;95,6;100;7;35
09.09.2013;11,4;14;18,7;4,1;7,6;10,9;54;83,7;100;8;35
10.09.2013;10,2;12,3;15,7;0,7;13,9;9,9;73;90,5;100;12;46
11.09.2013;11,4;13,3;18,8;1,1;1,7;10,2;70;91,9;100;10;44
12.09.2013;12,1;13,8;17,1;2,8;2,2;10,1;74;93,3;100;7;31
13.09.2013;13,2;15,7;19,6;2,6;3,5;12,6;66;84,5;98;6;26
14.09.2013;13,1;15,3;17,9;0;3;12,3;81;93;100;9;37
15.09.2013;8,6;13,4;17,3;4,7;9,7;6,8;60;81,4;100;7;33
16.09.2013;7,7;12,3;16,3;5,6;2,3;5,4;46;79,3;100;10;43
17.09.2013;7,3;10,4;15,2;6,2;6,8;5,1;60;82;100;10;41
18.09.2013;9,5;12;15,6;2,1;0,5;7,5;66;89,8;100;9;28
19.09.2013;8,8;12,4;15,6;3,4;0;6,6;64;82,3;98;8;31
20.09.2013;9,7;14,1;16,6;0;0;7,4;71;85,3;98;9;33
21.09.2013;7,4;12,3;18,1;5,1;0;5,4;66;89,5;100;3;13
22.09.2013;9,6;14,1;19;1,1;0;9;75;92,6;100;4;17
23.09.2013;12,2;16,1;20,1;2,2;0;10,6;64;87,5;100;5;13
24.09.2013;10,8;15,4;21,2;6,4;0;8,5;59;85,1;100;4;20
25.09.2013;9,3;14,1;19,6;6,1;0;7,3;75;90,8;100;5;19
26.09.2013;6,9;13,3;18,3;4,9;0;4;61;86,8;100;7;28
27.09.2013;6,2;11,7;18,8;9,9;0;2,9;58;81,5;100;5;20
28.09.2013;3,8;11,5;21;10,5;0;1;48;78;100;6;30
29.09.2013;5,3;12,4;20,8;11;0;2,1;40;70,1;100;9;39
30.09.2013;4;11,6;18,7;10,7;0;0,7;49;73,7;100;7;33
01.10.2013;5,2;12,8;19,5;9,7;0;1,5;50;67;84;7;33
02.10.2013;3;10,5;17,7;10,3;0;-0,3;46;66,6;99;10;43
03.10.2013;7,7;12,6;18,9;9,3;1,7;5,7;43;51,5;61;16;48
04.10.2013;9,8;13,6;17,8;2,8;2,3;8,7;47;81,6;91;13;44
05.10.2013;11,7;15;17,8;0,6;0,1;8,8;83;91,2;100;6;24
06.10.2013;7,9;13,1;18,9;2,2;0;5,1;60;88,1;100;4;17
07.10.2013;7,9;12,3;18,8;9,5;0;5,3;56;87,2;100;3;15
08.10.2013;12,5;14;17,3;0;0,1;12;64;88,1;100;2;15
09.10.2013;9;13,4;16,4;0,1;7,6;7,8;86;93;99;5;33
10.10.2013;4,7;8,6;12,3;3,9;0,4;1,5;64;88,9;99;7;33
11.10.2013;4,1;6,6;8,6;0;7,5;1,6;91;97,9;100;3;20
12.10.2013;1,3;5,8;9,7;2,5;2,8;-0,9;85;96,1;100;4;19
13.10.2013;5,7;8,4;11,2;1,7;0,3;4,5;71;87,2;100;13;56
14.10.2013;7,8;10,8;15,4;1,2;2,5;6;65;85,7;100;12;41
15.10.2013;8,6;9,9;12,3;0,6;5,1;6,8;80;92;100;8;31
